"(197.33333333333334, 173.33333333333334, 167.66666666666666)","(186.83333333333334, 137.33333333333334, 147.33333333333334)"
"(228.33333333333334, 204.0, 210.0)","(183.33333333333334, 102.33333333333333, 123.33333333333333)"
"(220.33333333333334, 191.66666666666666, 172.0)","(209.16666666666666, 163.5, 158.0)"
"(162.33333333333334, 114.66666666666667, 106.66666666666667)","(118.33333333333333, 52.166666666666664, 48.833333333333336)"
"(196.0, 180.0, 168.33333333333334)","(192.66666666666666, 130.66666666666666, 119.83333333333333)"
"(238.0, 209.0, 202.0)","(223.5, 150.5, 158.5)"
"(225.33333333333334, 182.0, 157.66666666666666)","(211.5, 132.5, 131.83333333333334)"
"(209.66666666666666, 180.0, 160.66666666666666)","(201.0, 139.5, 134.33333333333334)"
"(210.33333333333334, 150.0, 112.33333333333333)","(171.33333333333334, 57.333333333333336, 29.833333333333332)"
"(198.33333333333334, 154.33333333333334, 138.0)","(187.33333333333334, 115.33333333333333, 117.5)"
"(248.33333333333334, 189.33333333333334, 160.33333333333334)","(220.5, 116.83333333333333, 111.83333333333333)"
"(207.33333333333334, 171.33333333333334, 156.66666666666666)","(179.83333333333334, 82.16666666666667, 86.66666666666667)"
"(192.0, 132.66666666666666, 117.33333333333333)","(157.5, 88.0, 78.5)"
"(215.66666666666666, 145.66666666666666, 129.33333333333334)","(200.0, 111.16666666666667, 104.83333333333333)"
"(215.0, 173.66666666666666, 161.66666666666666)","(215.0, 128.5, 177.5)"
"(244.66666666666666, 200.66666666666666, 195.66666666666666)","(219.83333333333334, 139.83333333333334, 143.66666666666666)"
"(217.66666666666666, 197.66666666666666, 188.66666666666666)","(203.0, 155.16666666666666, 165.33333333333334)"
"(248.33333333333334, 204.66666666666666, 183.66666666666666)","(217.16666666666666, 132.66666666666666, 127.5)"
"(234.33333333333334, 222.33333333333334, 226.0)","(183.0, 122.16666666666667, 142.16666666666666)"
"(226.0, 187.66666666666666, 168.0)","(226.16666666666666, 170.83333333333334, 171.5)"
"(231.66666666666666, 197.33333333333334, 189.0)","(204.83333333333334, 120.0, 125.5)"
"(220.66666666666666, 186.0, 175.0)","(213.83333333333334, 122.16666666666667, 137.0)"
"(230.0, 194.0, 185.33333333333334)","(207.5, 144.0, 151.66666666666666)"
"(218.33333333333334, 165.66666666666666, 145.33333333333334)","(212.83333333333334, 165.33333333333334, 163.0)"
"(167.66666666666666, 126.0, 116.33333333333333)","(164.16666666666666, 106.0, 109.16666666666667)"
"(251.33333333333334, 221.33333333333334, 229.66666666666666)","(246.16666666666666, 194.5, 209.83333333333334)"
"(222.33333333333334, 193.33333333333334, 175.0)","(214.33333333333334, 130.66666666666666, 153.0)"
"(236.0, 199.0, 201.0)","(235.33333333333334, 161.83333333333334, 169.33333333333334)"
"(207.33333333333334, 161.66666666666666, 143.33333333333334)","(215.66666666666666, 149.66666666666666, 160.5)"
"(218.33333333333334, 194.0, 182.0)","(171.16666666666666, 127.5, 125.66666666666667)"
"(228.0, 152.33333333333334, 124.66666666666667)","(215.0, 100.83333333333333, 99.83333333333333)"
"(201.33333333333334, 173.33333333333334, 169.33333333333334)","(199.66666666666666, 155.0, 170.16666666666666)"
"(243.0, 218.33333333333334, 221.66666666666666)","(221.66666666666666, 123.66666666666667, 169.0)"
"(227.33333333333334, 202.33333333333334, 200.33333333333334)","(201.83333333333334, 149.16666666666666, 158.83333333333334)"
"(211.66666666666666, 186.66666666666666, 179.33333333333334)","(195.83333333333334, 110.16666666666667, 125.5)"
"(226.66666666666666, 200.33333333333334, 206.66666666666666)","(207.16666666666666, 135.16666666666666, 155.5)"
"(217.0, 189.0, 186.0)","(189.0, 114.5, 131.16666666666666)"
"(200.0, 162.0, 145.66666666666666)","(201.33333333333334, 131.0, 131.16666666666666)"
"(237.33333333333334, 207.0, 197.0)","(207.83333333333334, 128.33333333333334, 143.5)"
"(222.33333333333334, 171.66666666666666, 142.0)","(190.16666666666666, 73.66666666666667, 69.83333333333333)"
"(219.0, 202.66666666666666, 214.33333333333334)","(219.83333333333334, 131.16666666666666, 179.0)"
